iter	RMSE
0	0.2945546104
1	0.2915546857
2	0.2889197983
3	0.285826695
4	0.2834525043
5	0.2806710607
6	0.2784647628
7	0.276204719
8	0.2745634439
9	0.2725023147
10	0.2705970378
11	0.2685856136
12	0.266584947
13	0.2640297004
14	0.2623038562
15	0.2607410177
16	0.2589669887
17	0.2568476619
18	0.2551879703
19	0.2531794092
20	0.2512881035
21	0.2497641396
22	0.2477459419
23	0.2464860496
24	0.2449716617
25	0.2433749274
26	0.2420254687
27	0.2405214488
28	0.2388451664
29	0.2373611675
30	0.2360820845
31	0.2345823322
32	0.2333814421
33	0.2324248815
34	0.2313204567
35	0.2301517968
36	0.2290904207
37	0.2278477687
38	0.2265919075
39	0.2255789123
40	0.2244819263
41	0.2236715279
42	0.2223938761
43	0.2211767238
44	0.2203017018
45	0.2190493696
46	0.2183005222
47	0.2173262483
48	0.2163402393
49	0.2152588416
50	0.2141554912
51	0.2130806138
52	0.2114553474
53	0.2106110403
54	0.2097535227
55	0.2090125408
56	0.2081404838
57	0.2074919511
58	0.2064913542
59	0.2057754747
60	0.2046614931
61	0.2038059486
62	0.2031525255
63	0.2023168794
64	0.2014499341
65	0.2004480655
66	0.1998888856
67	0.1990718567
68	0.1983470681
69	0.1975296949
70	0.1964270356
71	0.1955099956
72	0.1947563664
73	0.1939667995
74	0.1933232283
75	0.1925781744
76	0.1919149065
77	0.1911429476
78	0.1904731456
79	0.1898339427
80	0.1893531122
81	0.1887363357
82	0.1879734316
83	0.1872843798
84	0.1865518455
85	0.1860592277
86	0.1854484405
87	0.1848313324
88	0.1842771086
89	0.1836834873
90	0.1831321164
91	0.1828088528
92	0.1821868237
93	0.1816689856
94	0.1811076627
95	0.180520068
96	0.1799811341
97	0.1795003358
98	0.178881064
99	0.1779622643
100	0.1775347862
101	0.1772654922
102	0.1767221746
103	0.1761835883
104	0.1757252601
105	0.1752513392
106	0.1748589085
107	0.1744334617
108	0.1739726684
109	0.1735035829
110	0.172955734
111	0.1723285268
112	0.1718511329
113	0.1712878544
114	0.1709474886
115	0.1704710516
116	0.169939007
117	0.1694606222
118	0.1690728176
119	0.1684049945
120	0.1678929237
121	0.1675085314
122	0.1671742505
123	0.1667435703
124	0.1662416835
125	0.1660449634
126	0.1655839854
127	0.1652757025
128	0.1648643608
129	0.1643875879
130	0.1639352047
131	0.1635364333
132	0.16311183
133	0.1626419161
134	0.1623127864
135	0.1619906717
136	0.161630088
137	0.1612581766
138	0.1609053402
139	0.1606729772
140	0.1602546473
141	0.1598406351
142	0.1594973975
143	0.1592224576
144	0.1588131314
145	0.1584616285
146	0.1579875616
147	0.1575441471
148	0.1572495044
149	0.156881064
150	0.1565412644
151	0.1563161762
152	0.1559456419
153	0.155610164
154	0.1551500675
155	0.1548126126
156	0.1544950795
157	0.1540875152
158	0.1536872284
159	0.1534912087
160	0.1531257831
161	0.1526572774
162	0.1523494478
163	0.1519827865
164	0.151755718
165	0.1513895479
166	0.1510619787
167	0.1508191351
168	0.150522087
169	0.1502093267
170	0.149863276
171	0.1495939787
172	0.1492992676
173	0.1489638035
174	0.1485100499
175	0.1482411933
176	0.1479138862
177	0.1476064214
178	0.1474201912
179	0.1471316471
180	0.1468597436
181	0.1464512009
182	0.1459925662
183	0.1456748946
184	0.1452627879
185	0.1449746302
186	0.1447186565
187	0.1444832175
188	0.144063423
189	0.1437152324
190	0.1434323133
191	0.1431830243
192	0.143019506
193	0.1427581082
194	0.1424118095
195	0.14202576
196	0.1417612497
197	0.1415447262
198	0.1411567482
199	0.1408025252
200	0.1405342082
201	0.1402608384
202	0.1400642011
203	0.1398115667
204	0.1395280043
205	0.1391103819
206	0.1388677304
207	0.1385077205
208	0.138170798
209	0.1379723621
210	0.1376444669
211	0.1373982493
212	0.1369949625
213	0.1367508183
214	0.1365313528
215	0.1362707227
216	0.1358920312
217	0.1356591149
218	0.1352970672
219	0.1349082785
220	0.1346149587
221	0.1343968956
222	0.1341436591
223	0.1339783298
224	0.1336679589
225	0.1333706075
226	0.1330899023
227	0.1328207939
228	0.1324641324
229	0.1321529706
230	0.1319403631
231	0.1315186814
232	0.1312617416
233	0.1310301091
234	0.1306371683
235	0.130420947
236	0.1301196106
237	0.1298923863
238	0.1296225484
239	0.1293135282
240	0.1290401754
241	0.1286709423
242	0.1283350273
243	0.1281329643
244	0.1277615095
245	0.1273490012
246	0.1271858928
247	0.12693378
248	0.1267156496
249	0.1262831724
250	0.126019778
