iter	Passed	Remaining
0	181	908027
1	224	560254
2	240	400140
3	253	316719
4	271	270810
5	284	236489
6	298	212851
7	313	195858
8	329	182789
9	337	168240
10	353	160283
11	370	153969
12	388	149071
13	409	145978
14	424	140926
15	442	137813
16	455	133630
17	469	129868
18	482	126412
19	495	123287
20	508	120618
21	510	115497
22	511	110688
23	524	108737
24	538	107085
25	551	105579
26	566	104250
27	582	103500
28	596	102254
29	609	100980
30	622	99760
31	635	98684
32	648	97665
33	661	96674
34	675	95799
35	688	94888
36	701	94159
37	715	93403
38	734	93481
39	750	93085
40	764	92476
41	777	91827
42	790	91128
43	804	90655
44	817	90051
45	833	89796
46	834	87982
47	847	87461
48	863	87258
49	876	86775
50	889	86343
51	905	86205
52	918	85750
53	931	85315
54	944	84930
55	957	84510
56	971	84255
57	973	82923
58	989	82866
59	1011	83239
60	1025	83044
61	1039	82796
62	1053	82527
63	1068	82388
64	1091	82838
65	1107	82777
66	1121	82567
67	1129	81892
68	1146	81936
69	1161	81793
70	1175	81637
71	1189	81412
72	1204	81285
73	1219	81149
74	1235	81141
75	1250	81050
76	1267	81033
77	1280	80795
78	1293	80582
79	1308	80456
80	1324	80429
81	1338	80249
82	1352	80128
83	1367	80023
84	1383	79983
85	1398	79901
86	1417	80035
87	1435	80107
88	1475	81442
89	1495	81587
90	1516	81834
91	1518	81000
92	1535	81018
93	1553	81084
94	1568	80979
95	1584	80922
96	1600	80905
97	1614	80756
98	1632	80841
99	1650	80874
100	1666	80819
101	1697	81491
102	1726	82089
103	1744	82105
104	1761	82098
105	1777	82055
106	1790	81887
107	1803	81713
108	1819	81655
109	1834	81564
110	1848	81425
111	1862	81268
112	1876	81133
113	1889	80988
114	1902	80831
115	1915	80668
116	1929	80533
117	1943	80419
118	1957	80306
119	1971	80181
120	1984	80019
121	1998	79889
122	2014	79858
123	2029	79814
124	2043	79699
125	2051	79351
126	2066	79290
127	2079	79162
128	2094	79077
129	2107	78967
130	2123	78915
131	2137	78813
132	2150	78680
133	2163	78580
134	2176	78442
135	2190	78329
136	2203	78213
137	2217	78142
138	2232	78056
139	2247	78031
140	2261	77917
141	2274	77804
142	2289	77750
143	2301	77618
144	2314	77508
145	2328	77422
146	2341	77314
147	2354	77199
148	2367	77080
149	2382	77027
150	2401	77132
151	2414	77017
152	2428	76919
153	2441	76828
154	2456	76789
155	2470	76715
156	2483	76623
157	2497	76544
158	2510	76442
159	2514	76078
160	2528	75987
161	2541	75890
162	2557	75908
163	2570	75811
164	2584	75721
165	2597	75630
166	2610	75536
167	2623	75444
168	2636	75363
169	2649	75286
170	2663	75223
171	2677	75151
172	2690	75058
173	2703	74987
174	2727	75195
175	2746	75283
176	2759	75201
177	2772	75111
178	2774	74726
179	2787	74639
180	2800	74556
181	2813	74486
182	2827	74413
183	2840	74344
184	2855	74315
185	2869	74277
186	2883	74208
187	2896	74137
188	2909	74069
189	2922	73981
190	2935	73917
191	2948	73838
192	2961	73768
